transitions,roles,build_time,projection_time,rt
166,15,12.86018038,0.057114363,2490
139,18,14.79475045,0.051999807,2502
158,16,12.35867357,0.038925886,2528
160,16,16.07027555,0.046456337,2560
161,16,16.44932604,0.054012775,2576
153,17,14.85786343,0.045965195,2601
163,16,13.81095219,0.052134037,2608
155,17,16.22065258,0.060141087,2635
165,16,18.22594571,0.051896572,2640
156,17,15.56876087,0.055914402,2652
156,17,16.09522724,0.052892685,2652
148,18,14.35765862,0.050521374,2664
150,18,16.16427183,0.061442375,2700
172,16,16.19213247,0.054470778,2752
154,18,13.88339329,0.057454109,2772
155,18,19.27031207,0.054201126,2790
165,17,19.42056179,0.08640933,2805
188,15,13.77067137,0.065491438,2820
166,17,17.14291453,0.054604053,2822
167,17,14.37763929,0.056039333,2839
178,17,14.68449545,0.054861069,3026
205,15,22.81269526,0.055310965,3075
181,17,21.55801249,0.06935358,3077
182,17,15.40687823,0.0598557,3094
187,17,20.67411733,0.064890385,3179
188,17,17.28625083,0.069001675,3196
169,19,15.65875101,0.06142354,3211
179,18,21.74143076,0.071274042,3222
181,18,15.18549681,0.068858624,3258
181,18,19.18085194,0.075341463,3258
205,16,17.87666678,0.083523035,3280
173,19,14.79046726,0.071695566,3287
183,18,21.60997725,0.074165583,3294
184,18,15.51877499,0.075900316,3312
179,19,19.75643373,0.067036629,3401
180,19,20.07105637,0.068475008,3420
191,18,22.96768236,0.06605196,3438
194,18,16.80914879,0.087960005,3492
210,17,38.13579345,0.104625463,3570
188,19,19.00304008,0.077460766,3572
189,19,18.7520349,0.118917942,3591
190,19,20.71793485,0.069546938,3610
193,19,24.02007318,0.06679678,3667
205,18,26.7523129,0.100752831,3690
208,18,19.64014268,0.079314947,3744
200,19,22.52383661,0.080026388,3800
205,19,19.26119161,0.082057238,3895
210,19,17.35084534,0.093786955,3990
213,19,22.85162616,0.114953041,4047
246,19,23.20014596,0.15335083,4674
